==================================================================
  EXPERIMENT CONFIGURATIONS  (3 experiments)
  Code state (git): 8306117
  Instance order  : by seed, then config (seed1 of all types first)
==================================================================
  Shared parameters:
    time_limit_s=60               NoRelHeurTime=0
    MIPGap=0.0                    seed=1

  Per-experiment parameters:
  Label       Solver                      weight_makespan  weight_delay  weight_movements
  ---------------------------------------------------------------------------------------
  igvnd_wMK   IteratedGreedyVNDJobSolver  100              1             1               
  igvnd_wDLY  IteratedGreedyVNDJobSolver  1                100           1               
  igvnd_wMOV  IteratedGreedyVNDJobSolver  1                1             100             
==================================================================


==================================================================
  HEURISTIC vs MILP  —  relative gap per instance type
  gap = (MILP_obj - heuristic_obj) / MILP_obj
  gap > 0  =>  heuristic BETTER (lower objective);  < 0  => worse
  heuristic: igvnd_wMK / igvnd_wDLY / igvnd_wMOV   (MILP rows from cache)
==================================================================
  -- Relative objective gap, by weight profile --
  [wMK  (100/1/1  makespan-priority)]
    scn_two_rows_loose_P5_R20    30   +15.69%    -0.39%   +41.19%
    scn_two_rows_loose_P5_R30    30   +34.40%   +11.16%   +60.34%
    scn_two_rows_loose_P5_R5     30    +0.00%    +0.00%    +0.00%
    scn_two_rows_medium_P5_R10   30    -3.78%   -11.11%    -0.08%
    scn_two_rows_medium_P5_R20   30   +17.52%    -0.01%   +55.64%
    scn_two_rows_medium_P5_R30   30   +32.67%    +2.27%   +64.08%
    scn_two_rows_medium_P5_R5    30    +0.00%    +0.00%    +0.00%
    scn_two_rows_tight_P5_R10    30    -1.28%    -6.04%    +3.76%
    scn_two_rows_tight_P5_R20    30   +16.55%    +0.65%   +39.09%
    scn_two_rows_tight_P5_R30    30   +30.51%    +3.65%   +59.35%
    scn_two_rows_tight_P5_R5     30    -0.42%    -6.25%    +0.00%

  -- Per-component mean Δ (heuristic − MILP); negative = heuristic better --
  -- (relative gap is distorted when the optimum delay ≈ 0; read these too)
  [wMK  (100/1/1  makespan-priority)]
    Type                          N   Δmakespan      Δdelay      Δmov
    ---------------------------------------------------------------
    scn_chain_loose_P5_R10       10       +3.55       +9.15     +6.00
    scn_chain_loose_P5_R20       10      -21.80     -141.60    +27.00
    scn_chain_loose_P5_R30       10     -100.30    -1137.75    +70.60
    scn_chain_loose_P5_R5        10       +0.30       +0.00     +1.40
    scn_chain_medium_P5_R10      10       +3.60       +1.80     +6.40
    scn_chain_medium_P5_R20      10      -26.60     -100.45    +25.80
    scn_chain_medium_P5_R30      10     -102.15    -1171.20    +73.00
    scn_chain_medium_P5_R5       10       +0.30       +0.30     +1.60
    scn_chain_tight_P5_R10       10       +1.90       -8.05     +5.20
    scn_chain_tight_P5_R20       10      -18.80      -77.95    +17.40
    scn_chain_tight_P5_R30       10     -102.10    -1111.90    +71.80
    scn_chain_tight_P5_R5        10       +0.30       +3.50     +1.20
    scn_hub_loose_P5_R10         10       +2.65       +1.30     -4.40
    scn_hub_loose_P5_R20         10      -18.00      -90.10    -10.40
    scn_hub_loose_P5_R30         10      -31.55     -344.55    +49.40
    scn_hub_loose_P5_R5          10       +0.00       +0.00     +0.20
    scn_hub_medium_P5_R10        10       +2.55       +4.40     -3.40
    scn_hub_medium_P5_R20        10      -15.85      -96.95     -0.60
    scn_hub_medium_P5_R30        10      -34.30     -364.50    +51.00
    scn_hub_medium_P5_R5         10       +0.00       +0.55     +0.20
    scn_hub_tight_P5_R10         10       +2.45       -2.05     -4.60
    scn_hub_tight_P5_R20         10      -18.80      -82.70    -16.80
    scn_hub_tight_P5_R30         10      -37.10     -364.00    +28.80
    scn_hub_tight_P5_R5          10       +0.00       +1.55     +0.00
    scn_none_tight_P5_R10        10       +0.00       +0.00     +0.00
    scn_two_rows_loose_P5_R10    10       +0.45       -0.60     +2.00
    scn_two_rows_loose_P5_R20    10      -18.60     -107.10     +3.00
    scn_two_rows_loose_P5_R30    10      -98.65     -978.15     +7.40
    scn_two_rows_loose_P5_R5     10       +0.00       +0.00     +0.00
    scn_two_rows_medium_P5_R10   10       +0.40       +3.00     +2.60
    scn_two_rows_medium_P5_R20   10      -25.75     -120.45     +4.60
    scn_two_rows_medium_P5_R30   10     -103.55     -934.75     +7.80
    scn_two_rows_medium_P5_R5    10       +0.00       +0.00     +0.00
    scn_two_rows_tight_P5_R10    10       +0.35       +3.30     +2.00
    scn_two_rows_tight_P5_R20    10      -30.55     -238.60     +0.00
    scn_two_rows_tight_P5_R30    10     -107.50    -1045.85     +3.40
    scn_two_rows_tight_P5_R5     10       +0.00       +0.00     +0.20

  [wDLY  (1/100/1  delay-priority)]
    Type                          N   Δmakespan      Δdelay      Δmov
    ---------------------------------------------------------------
    scn_chain_loose_P5_R10       10       +2.45       +4.30     +6.40
    scn_chain_loose_P5_R20       10      -27.30     -158.35    +26.00
    scn_chain_loose_P5_R30       10     -109.90    -1303.95    +68.40
    scn_chain_loose_P5_R5        10       +0.50       +0.00     +1.00
    scn_chain_medium_P5_R10      10       -0.15       +3.30     +3.60
    scn_chain_medium_P5_R20      10      -31.60     -173.20    +29.00
    scn_chain_medium_P5_R30      10      -94.90    -1164.25    +61.80
    scn_chain_medium_P5_R5       10       +0.50       +0.00     +1.80
    scn_chain_tight_P5_R10       10       -4.35      -14.50     -1.00
    scn_chain_tight_P5_R20       10      -27.80     -137.35    +23.40
    scn_chain_tight_P5_R30       10     -103.65    -1209.30    +65.00
    scn_chain_tight_P5_R5        10       +1.20       +1.00     +1.60
    scn_hub_loose_P5_R10         10       +3.05       +3.60     +0.20
    scn_hub_loose_P5_R20         10      -18.65      -90.65    -14.20
    scn_hub_loose_P5_R30         10      -35.40     -405.55    +36.60
    scn_hub_loose_P5_R5          10       +0.00       +0.00     +0.20
    scn_hub_medium_P5_R10        10       -0.15       +3.20     -1.60
    scn_hub_medium_P5_R20        10      -23.25     -108.50     -9.60
    scn_hub_medium_P5_R30        10      -35.55     -469.45    +45.00
    scn_hub_medium_P5_R5         10       +2.70       +0.40     +0.00
    scn_hub_tight_P5_R10         10       -3.05       -6.65     +0.00
    scn_hub_tight_P5_R20         10      -18.45     -116.75     -2.20
    scn_hub_tight_P5_R30         10      -40.15     -408.75    +28.80
    scn_hub_tight_P5_R5          10       +1.45       +3.30     -1.20
    scn_none_tight_P5_R10        10       +0.00       +0.00     +0.00
    scn_two_rows_loose_P5_R10    10       +0.40       +0.15     +2.20
    scn_two_rows_loose_P5_R20    10      -20.40      -86.75     +1.40
    scn_two_rows_loose_P5_R30    10     -118.80    -1142.95     -0.40
    scn_two_rows_loose_P5_R5     10       +0.00       +0.00     +0.00
    scn_two_rows_medium_P5_R10   10       +0.40       +2.35     +4.40
    scn_two_rows_medium_P5_R20   10      -32.05     -160.65     +4.20
    scn_two_rows_medium_P5_R30   10     -114.70    -1068.50     +1.80
    scn_two_rows_medium_P5_R5    10       +0.00       +0.00     +0.00
    scn_two_rows_tight_P5_R10    10       -1.75       +0.25     +2.80
    scn_two_rows_tight_P5_R20    10      -31.10     -150.65     +8.00
    scn_two_rows_tight_P5_R30    10     -119.50    -1013.80     -6.20
    scn_two_rows_tight_P5_R5     10       +0.00       +0.00     +0.20

  [wMOV  (1/1/100  movement-priority)]
    Type                          N   Δmakespan      Δdelay      Δmov
    ---------------------------------------------------------------
    scn_chain_loose_P5_R10       10       +6.15      +33.30     +0.00
    scn_chain_loose_P5_R20       10      -15.75      +25.20     +0.00
    scn_chain_loose_P5_R30       10      -91.20     -879.95     +0.00
    scn_chain_loose_P5_R5        10       +0.60       +0.00     +0.00
    scn_chain_medium_P5_R10      10       +6.15      +36.85     +0.00
    scn_chain_medium_P5_R20      10      -31.05      -58.10     +0.00
    scn_chain_medium_P5_R30      10     -102.85     -723.35     +0.00
    scn_chain_medium_P5_R5       10       +0.60       +0.80     +0.00
    scn_chain_tight_P5_R10       10       +3.50      +32.15     +0.00
    scn_chain_tight_P5_R20       10      -24.00      -64.55     +0.00
    scn_chain_tight_P5_R30       10     -100.00     -920.70     +0.00
    scn_chain_tight_P5_R5        10       +0.60       +7.30     +0.00
    scn_hub_loose_P5_R10         10       +1.75       +5.25     +0.00
    scn_hub_loose_P5_R20         10      -17.20     -134.70     +0.00
    scn_hub_loose_P5_R30         10      -36.40     -338.50     +0.00
    scn_hub_loose_P5_R5          10       +0.00       +0.00     +0.00
    scn_hub_medium_P5_R10        10       +1.30       +7.20     +0.00
    scn_hub_medium_P5_R20        10      -18.95     -128.00     +0.00
    scn_hub_medium_P5_R30        10      -35.70     -330.05     +0.00
    scn_hub_medium_P5_R5         10       +0.00       +0.00     +0.00
    scn_hub_tight_P5_R10         10       -1.75       +4.65     +0.00
    scn_hub_tight_P5_R20         10      -20.90     -135.30     +0.00
    scn_hub_tight_P5_R30         10      -41.60     -380.60     +0.00
    scn_hub_tight_P5_R5          10       +0.00       +1.10     +0.00
    scn_none_tight_P5_R10        10       +0.00       +0.00     +0.00
    scn_two_rows_loose_P5_R10    10       +1.00       +1.00     +0.00
    scn_two_rows_loose_P5_R20    10      -19.15      -78.60     +0.00
    scn_two_rows_loose_P5_R30    10      -88.35     -729.30     +0.00
    scn_two_rows_loose_P5_R5     10       +0.00       +0.00     +0.00
    scn_two_rows_medium_P5_R10   10       +1.90       +4.90     +0.00
    scn_two_rows_medium_P5_R20   10      -27.70     -112.00     +0.00
    scn_two_rows_medium_P5_R30   10     -130.10    -1261.70     +0.00
    scn_two_rows_medium_P5_R5    10       +0.00       +0.00     +0.00
    scn_two_rows_tight_P5_R10    10       +0.60       +4.10     +0.00
    scn_two_rows_tight_P5_R20    10      -20.80     -118.40     +0.00
    scn_two_rows_tight_P5_R30    10     -127.20    -1209.00     +0.00
    scn_two_rows_tight_P5_R5     10       +0.00       +0.20     +0.00

==================================================================


==================================================================
  SUMMARY  —  1110 ok  /  0 failed  /  1110 total
==================================================================
  Instance                           Experiment  Status             Obj   Makespan      Delay   Mov       Gap   Time(s)
  ---------------------------------------------------------------------------------------------------------------------
  scn_chain_loose_P5_R10_seed1       igvnd_wMK   heuristic_     6173.00      61.50      13.00    10         -      60.0
  scn_chain_loose_P5_R10_seed1       igvnd_wDLY  heuristic_     1423.00      63.00      13.50    10         -      60.0
  scn_chain_loose_P5_R10_seed1       igvnd_wMOV  heuristic_      132.00      69.00      63.00     0         -      60.0
  scn_chain_loose_P5_R20_seed1       igvnd_wMK   heuristic_    13846.00     133.50     446.00    50         -      60.1
  scn_chain_loose_P5_R20_seed1       igvnd_wDLY  heuristic_    41926.50     138.50     417.50    38         -      60.0
  scn_chain_loose_P5_R20_seed1       igvnd_wMOV  heuristic_      743.00     155.00     588.00     0         -      60.0
  scn_chain_loose_P5_R30_seed1       igvnd_wMK   heuristic_    26955.00     247.50    2121.00    84         -      60.1
  scn_chain_loose_P5_R30_seed1       igvnd_wDLY  heuristic_   166621.50     249.50    1663.00    72         -      60.1
  scn_chain_loose_P5_R30_seed1       igvnd_wMOV  heuristic_     2314.00     253.00    2061.00     0         -      60.1
  scn_chain_loose_P5_R5_seed1        igvnd_wMK   heuristic_     3202.00      32.00       0.00     2         -      60.0
  scn_chain_loose_P5_R5_seed1        igvnd_wDLY  heuristic_       34.00      32.00       0.00     2         -      60.0
  scn_chain_loose_P5_R5_seed1        igvnd_wMOV  heuristic_       32.00      32.00       0.00     0         -      60.0
  scn_chain_medium_P5_R10_seed1      igvnd_wMK   heuristic_     6402.00      63.00      84.00    18         -      60.0
  scn_chain_medium_P5_R10_seed1      igvnd_wDLY  heuristic_     6673.50      61.50      66.00    12         -      60.0
  scn_chain_medium_P5_R10_seed1      igvnd_wMOV  heuristic_      185.00      69.00     116.00     0         -      60.0
  scn_chain_medium_P5_R20_seed1      igvnd_wMK   heuristic_    13954.50     131.50     750.50    54         -      60.1
  scn_chain_medium_P5_R20_seed1      igvnd_wDLY  heuristic_    57240.00     140.00     570.50    50         -      60.0
  scn_chain_medium_P5_R20_seed1      igvnd_wMOV  heuristic_      925.00     158.00     767.00     0         -      60.0
  scn_chain_medium_P5_R30_seed1      igvnd_wMK   heuristic_    26834.50     242.00    2560.50    74         -      60.1
  scn_chain_medium_P5_R30_seed1      igvnd_wDLY  heuristic_   219705.50     275.50    2193.50    80         -      60.1
  scn_chain_medium_P5_R30_seed1      igvnd_wMOV  heuristic_     2684.00     253.00    2431.00     0         -      60.0
  scn_chain_medium_P5_R5_seed1       igvnd_wMK   heuristic_     3202.00      32.00       0.00     2         -      60.0
  scn_chain_medium_P5_R5_seed1       igvnd_wDLY  heuristic_       34.00      32.00       0.00     2         -      60.0
  scn_chain_medium_P5_R5_seed1       igvnd_wMOV  heuristic_       32.00      32.00       0.00     0         -      60.0
  scn_chain_tight_P5_R10_seed1       igvnd_wMK   heuristic_     6280.50      61.50     112.50    18         -      60.0
  scn_chain_tight_P5_R10_seed1       igvnd_wDLY  heuristic_    10822.50      62.50     107.50    10         -      60.0
  scn_chain_tight_P5_R10_seed1       igvnd_wMOV  heuristic_      235.00      69.00     166.00     0         -      60.0
  scn_chain_tight_P5_R20_seed1       igvnd_wMK   heuristic_    14077.50     132.00     835.50    42         -      60.0
  scn_chain_tight_P5_R20_seed1       igvnd_wDLY  heuristic_    72082.50     142.50     719.00    40         -      60.1
  scn_chain_tight_P5_R20_seed1       igvnd_wMOV  heuristic_     1010.00     158.50     851.50     0         -      60.0
  scn_chain_tight_P5_R30_seed1       igvnd_wMK   heuristic_    27088.00     242.00    2814.00    74         -      60.1
  scn_chain_tight_P5_R30_seed1       igvnd_wDLY  heuristic_   234129.00     255.00    2338.00    74         -      60.2
  scn_chain_tight_P5_R30_seed1       igvnd_wMOV  heuristic_     2938.00     253.00    2685.00     0         -      60.1
  scn_chain_tight_P5_R5_seed1        igvnd_wMK   heuristic_     3207.00      32.00       5.00     2         -      60.0
  scn_chain_tight_P5_R5_seed1        igvnd_wDLY  heuristic_      137.00      33.00       1.00     4         -      60.0
  scn_chain_tight_P5_R5_seed1        igvnd_wMOV  heuristic_       41.00      32.00       9.00     0         -      60.0
  scn_hub_loose_P5_R10_seed1         igvnd_wMK   heuristic_     6064.50      60.50      14.50     0         -      60.0
  scn_hub_loose_P5_R10_seed1         igvnd_wDLY  heuristic_      968.50      62.50       9.00     6         -      60.0
  scn_hub_loose_P5_R10_seed1         igvnd_wMOV  heuristic_       75.00      60.50      14.50     0         -      60.0
  scn_hub_loose_P5_R20_seed1         igvnd_wMK   heuristic_    13079.50     126.50     429.50     0         -      60.0
  scn_hub_loose_P5_R20_seed1         igvnd_wDLY  heuristic_    37779.50     129.50     376.50     0         -      60.0
